Program for reverse faulting, modified from general4.f and layer5rev_distrib.f (https://github.com/aochihi/DepthStress)
Reference: Aochi (2018), Aochi & Tsuda (2023)
UPDATE 2024/03/12 by Mike (H. SU)
++++++++++++++++++++++++++++++++++++++++++++
INPUT parameters
static friction coef.  [mu_s]:   0.60
dynamic friction coef.  [mu_d]:   0.33
optimal fault orientation [phi]:  29.52
dip angle [dip]:  50.00
cohesion [cohesion]:   5.00
fault relative prestress [R_assume]:   1.00
++++++++++++++++++++++++++++++++++++++++++++
Depth[km] S1[MPa]   S3[MPa]   t0[MPa]   tp[MPa]   tr[MPa]   n0[MPa]   S         G              strain_c       strain         
1.790     96.471    43.526    26.070    49.757    24.616    74.595    16.295    1.294e+10      2.046e-09      4.248e-09      
1.800     96.713    43.768    26.070    49.902    24.696    74.837    17.347    1.294e+10      2.046e-09      4.267e-09      
1.810     96.954    44.010    26.070    50.047    24.776    75.079    18.529    1.294e+10      2.046e-09      4.287e-09      
1.820     97.196    44.252    26.070    50.192    24.856    75.321    19.866    1.294e+10      2.046e-09      4.307e-09      
1.830     97.438    44.493    26.070    50.338    24.936    75.563    21.391    1.294e+10      2.046e-09      4.327e-09      
1.840     97.680    44.735    26.070    50.483    25.015    75.804    23.147    1.294e+10      2.046e-09      4.347e-09      
1.850     97.922    44.977    26.070    50.628    25.095    76.046    25.191    1.294e+10      2.046e-09      4.367e-09      
1.860     98.164    45.219    26.070    50.773    25.175    76.288    27.599    1.294e+10      2.046e-09      4.386e-09      
1.870     98.405    45.461    26.070    50.918    25.255    76.530    30.478    1.294e+10      2.046e-09      4.406e-09      
1.880     98.647    45.703    26.070    51.063    25.335    76.772    33.982    1.294e+10      2.046e-09      4.426e-09      
1.890     98.889    45.944    26.070    51.208    25.414    77.014    38.339    1.294e+10      2.046e-09      4.446e-09      
1.900     99.131    46.186    26.070    51.353    25.494    77.255    43.904    1.294e+10      2.046e-09      4.466e-09      
1.910     99.373    46.428    26.070    51.498    25.574    77.497    51.259    1.294e+10      2.046e-09      4.485e-09      
1.920     99.614    46.670    26.070    51.643    25.654    77.739    61.434    1.294e+10      2.046e-09      4.505e-09      
1.930     99.856    46.912    26.070    51.788    25.734    77.981    76.435    1.294e+10      2.046e-09      4.525e-09      
